"","Male","Bachelor","relfreq","religionlink","regionlink","moreno","province","ownchtrust","religion"
"360",1,0,99,2,2,3,"British Columbia",99,"Non-religious"
"361",0,0,3,4,3,3,"British Columbia",99,"Muslim"
"363",1,1,4,3,3,3,"Manitoba",99,"Muslim"
"364",0,0,99,3,3,3,"Ontario",99,"Non-religious"
"365",0,0,3,2,3,3,"Ontario",99,"Muslim"
"366",0,1,2,3,3,3,"Manitoba",10,"Catholic"
"367",0,0,4,4,3,5,"Ontario",1,"Catholic"
"368",1,0,3,3,4,2,"Ontario",99,"Muslim"
"369",0,0,2,3,3,4,"Ontario",99,"Muslim"
"370",1,0,2,4,3,2,"Nova Scotia",99,"Sikh"
"371",1,1,2,2,3,2,"British Columbia",99,"Hindu"
"372",1,0,4,4,3,3,"Alberta",99,"Muslim"
"373",0,0,4,3,3,3,"British Columbia",8,"Catholic"
"374",0,1,4,4,4,4,"Alberta",99,"Other Christian"
"375",0,1,2,4,3,2,"Manitoba",99,"Hindu"
"376",0,0,2,3,3,3,"Ontario",99,"Hindu"
"377",1,1,2,2,2,3,"Ontario",99,"Sikh"
"378",1,1,2,3,3,3,"Ontario",99,"Hindu"
"379",0,1,4,2,2,3,"Ontario",9,"Catholic"
"380",1,1,4,4,3,3,"Ontario",99,"Muslim"
"382",0,0,4,2,2,3,"Ontario",5,"Catholic"
"383",1,1,99,2,3,3,"Ontario",99,"Non-religious"
"385",1,1,4,3,3,3,"Manitoba",99,"Muslim"
"386",0,0,3,3,3,3,"British Columbia",5,"Catholic"
"388",0,1,1,2,3,3,"Ontario",99,"Muslim"
"389",0,1,2,3,2,5,"Nova Scotia",99,"Sikh"
"390",0,1,2,4,4,2,"Ontario",99,"Muslim"
"391",0,0,1,2,3,5,"Ontario",99,"Hindu"
"392",0,0,2,4,2,3,"Manitoba",7,"United Church"
"393",1,1,4,3,4,3,"Saskatchewan",6,"Catholic"
"394",0,1,1,2,2,1,"Ontario",99,"Hindu"
"395",1,1,3,4,4,3,"Alberta",99,"Sikh"
"396",1,0,3,3,3,3,"British Columbia",99,"Hindu"
"397",1,1,2,3,2,1,"Ontario",99,"Muslim"
"398",1,0,1,4,3,3,"Ontario",99,"Jewish"
"399",0,1,2,2,2,3,"Ontario",99,"Muslim"
"400",0,1,2,3,3,4,"Ontario",99,"Hindu"
"403",1,1,4,2,1,1,"Ontario",99,"Muslim"
"404",0,1,99,1,1,3,"Ontario",99,"Non-religious"
"405",0,1,2,3,3,3,"Ontario",99,"Hindu"
"407",1,1,2,4,4,2,"British Columbia",99,"Sikh"
"409",0,0,4,4,4,3,"Northwest Territories",10,"Catholic"
"410",0,1,1,2,3,3,"British Columbia",99,"Other"
"411",1,1,2,2,3,2,"Manitoba",99,"Hindu"
"412",0,1,1,1,1,3,"Ontario",99,"Muslim"
"413",0,0,4,3,3,3,"Saskatchewan",8,"Catholic"
