"","SMS","male","Age","donated","Roma_Inf"
"716","Neutral Rights",0,34,0,0
"717","Roma Rights",0,32,0,0
"718","Neutral Child",1,31,0,0
"719","Greek Child",1,36,0,0
"720","Roma Rights",1,32,0,0
"721","Greek Rights",0,33,0,0
"722","Greek Child",1,47,0,0
"723","Greek Rights",0,36,0,0
"724","Greek Child",0,35,0,0
"725","Roma Child",1,55,0,0
"726","Neutral Child",1,39,0,0
"727","Greek Child",1,52,0,0
"728","Neutral Child",1,38,0,0
"729","Greek Child",0,38,0,0
"730","Greek Child",0,32,0,0
"731","Roma Child",0,57,0,0
"732","Greek Child",1,39,0,0
"733","Neutral Rights",1,25,0,0
"734","Neutral Child",1,42,0,0
"735","Neutral Rights",1,34,0,0
"736","Greek Child",1,43,0,0
"737","Greek Child",0,33,0,0
"738","Greek Rights",1,33,0,0
"739","Roma Rights",0,31,0,0
"740","Greek Rights",1,38,0,0
"741","Roma Child",0,34,0,0
"742","Greek Rights",1,36,0,0
"743","Greek Rights",1,39,0,0
"744","Neutral Rights",1,40,0,0
"745","Neutral Child",1,30,0,0
"746","Neutral Rights",1,37,0,0
"747","Greek Rights",1,35,0,0
"748","Greek Rights",1,54,0,0
"749","Greek Child",1,36,0,0
"750","Greek Rights",0,42,0,0
"751","Greek Rights",1,33,0,0
"752","Roma Rights",0,29,0,0
"753","Roma Rights",1,49,0,0
"754","Roma Child",1,30,0,0
"755","Greek Child",0,27,0,0
"756","Greek Child",0,35,0,0
"757","Greek Rights",1,96,0,0
"758","Roma Rights",1,31,0,0
"759","Neutral Child",0,36,0,0
"760","Neutral Rights",1,29,0,0
"761","Neutral Rights",1,40,0,0
"762","Greek Child",0,37,0,0
"763","Greek Rights",0,116,0,0
"764","Neutral Child",1,36,0,0
"765","Roma Rights",1,38,0,0
"766","Roma Rights",1,28,0,0
"767","Greek Rights",1,33,0,0
"768","Neutral Rights",1,35,0,0
"769","Roma Child",1,47,0,0
"770","Roma Rights",1,32,0,0
"771","Greek Child",1,37,0,0
"772","Greek Child",1,36,0,0
"773","Roma Rights",1,42,0,0
"774","Neutral Child",1,30,0,0
"775","Greek Rights",1,38,0,0
"776","Roma Rights",1,34,0,0
"777","Neutral Rights",0,38,0,0
"778","Greek Rights",1,46,0,0
"779","Roma Rights",0,46,0,0
"780","Greek Child",1,49,0,0
"781","Roma Rights",1,40,0,0
"782","Greek Child",0,36,0,0
