"election_id","country","year","party_name","vote_share","seats","seats_total","left_right","state_market","liberty_authority","halfdecade","party_family"
27,"Czech Republic",1998,"Civic Democratic Party",27.74,63,200,7.3637,7.8985,4.0087,"(1994,1999]","Conservative"
27,"Czech Republic",1998,"Rally for the Republic -- Republican Party of Czechoslovakia",3.9,0,200,9.7778,5.9,8.5,"(1994,1999]","Right-wing"
27,"Czech Republic",1998,"Communist Party of Bohemia and Moravia",11.03,24,200,0.7498,1.2243,6.4265,"(1994,1999]","Communist/Socialist"
27,"Czech Republic",1998,"Christian Democratic Union -- People's Party",9,20,200,5.8099,6.0784,7.9119,"(1994,1999]","Christian democracy"
27,"Czech Republic",1998,"Democratic Union",1.45,0,200,6,6.7,3.5,"(1994,1999]","Liberal"
28,"Cyprus",2009,"European Party",4.12,0,6,6,6.7,3.5,"(2004,2009]","Liberal"
28,"Cyprus",2009,"Progressive Party of Working People",34.9,2,6,1.0526,2.6316,6.1842,"(2004,2009]","Communist/Socialist"
28,"Cyprus",2009,"Democratic Party",12.28,1,6,5.1316,4.0789,6.0526,"(2004,2009]","Conservative"
28,"Cyprus",2009,"Movement for Social Democracy EDEK",9.85,1,6,3.2895,4.7368,5.9211,"(2004,2009]","Social democracy"
28,"Cyprus",2009,"Democratic Rally",35.65,2,6,8.6842,7.3684,5,"(2004,2009]","Conservative"
28,"Cyprus",2009,"Ecological and Environmental Movement",1.5,0,6,5.7895,5.5263,5.7895,"(2004,2009]","Green/Ecologist"
30,"Switzerland",1955,"Radical Democratic Party",23.3,50,196,6.3249,8.0105,3.4159,"(1954,1959]","Liberal"
30,"Switzerland",1955,"Social Democratic Party of Switzerland",27,53,196,1.8319,1.7579,1.2281,"(1954,1959]","Social democracy"
30,"Switzerland",1955,"Liberal Party of Switzerland",2.2,5,196,7.2961,8.477,4.2441,"(1954,1959]","Liberal"
30,"Switzerland",1955,"Catholic Conservative / Christian Democratic Peoples Party",23.2,47,196,4.7288,5.6421,7.1414,"(1954,1959]","Christian democracy"
30,"Switzerland",1955,"Protestant Peoples Party",1.1,1,196,4.9248,4.4498,7.5812,"(1954,1959]","Christian democracy"
30,"Switzerland",1955,"Swiss People's Party",12.1,22,196,7.3575,8.9684,8.3385,"(1954,1959]","Agrarian"
30,"Switzerland",1955,"Democratic Group",2.2,4,196,3.3,3.5,3.5,"(1954,1959]","Social democracy"
30,"Switzerland",1955,"Swiss Party of Labour",2.6,4,196,0.5263,0.5835,1.6148,"(1954,1959]","Communist/Socialist"
30,"Switzerland",1955,"Independents Alliance",5.5,10,196,3.3,3.5,3.5,"(1954,1959]","Social democracy"
30,"Switzerland",1955,"Liberal Socialist Party",0.35,0,196,6,6.7,3.5,"(1954,1959]","Liberal"
